CONNECTION_social_num_close_friends_grouped,WELLNESS_life_satisfaction
5 or more,7.0
,
,
3–4,7.0
3–4,10.0
,
,7.0
3–4,8.0
,
,
1–2,3.0
5 or more,6.0
5 or more,10.0
1–2,8.0
5 or more,1.0
,
,9.0
,5.0
1–2,5.0
,9.0
5 or more,7.0
5 or more,1.0
,
1–2,8.0
1–2,6.0
3–4,9.0
3–4,7.0
None,8.0
3–4,4.0
5 or more,6.0
3–4,6.0
,3.0
,
5 or more,9.0
1–2,4.0
,
3–4,8.0
1–2,8.0
1–2,6.0
3–4,8.0
5 or more,5.0
1–2,8.0
,4.0
,9.0
5 or more,7.0
1–2,7.0
,
3–4,6.0
3–4,8.0
5 or more,8.0
,
,7.0
3–4,1.0
,7.0
5 or more,6.0
3–4,6.0
1–2,9.0
,7.0
3–4,7.0
1–2,7.0
,3.0
5 or more,8.0
,
3–4,9.0
1–2,8.0
,
,3.0
,
,
3–4,5.0
1–2,7.0
None,3.0
5 or more,10.0
1–2,6.0
,
,
5 or more,2.0
,
,7.0
5 or more,4.0
3–4,8.0
,
1–2,8.0
None,7.0
3–4,8.0
5 or more,3.0
,
1–2,10.0
1–2,8.0
,6.0
,
3–4,7.0
None,3.0
5 or more,6.0
1–2,2.0
1–2,7.0
1–2,5.0
1–2,5.0
None,1.0
5 or more,7.0
3–4,1.0
3–4,9.0
,
5 or more,7.0
None,6.0
5 or more,8.0
3–4,7.0
,5.0
5 or more,6.0
5 or more,9.0
5 or more,8.0
5 or more,7.0
5 or more,6.0
1–2,6.0
5 or more,10.0
,
3–4,4.0
3–4,1.0
,6.0
3–4,7.0
5 or more,8.0
,
1–2,10.0
3–4,10.0
,
,
1–2,5.0
1–2,5.0
1–2,6.0
1–2,5.0
3–4,7.0
,5.0
,3.0
,6.0
1–2,7.0
3–4,7.0
1–2,7.0
5 or more,8.0
,
3–4,6.0
1–2,8.0
5 or more,4.0
3–4,10.0
,7.0
3–4,8.0
1–2,7.0
None,2.0
5 or more,6.0
5 or more,2.0
1–2,7.0
,5.0
,
None,5.0
None,3.0
5 or more,7.0
,
1–2,9.0
5 or more,3.0
1–2,8.0
,
,
None,4.0
,3.0
3–4,6.0
3–4,9.0
3–4,5.0
1–2,5.0
1–2,5.0
5 or more,8.0
1–2,5.0
3–4,10.0
5 or more,8.0
None,4.0
1–2,5.0
5 or more,6.0
1–2,6.0
1–2,2.0
3–4,4.0
,9.0
5 or more,7.0
5 or more,6.0
3–4,4.0
1–2,
3–4,5.0
,10.0
,8.0
,
None,5.0
None,1.0
,4.0
1–2,2.0
3–4,1.0
None,1.0
1–2,3.0
None,4.0
1–2,10.0
1–2,8.0
,5.0
5 or more,10.0
3–4,3.0
1–2,1.0
,
1–2,7.0
,5.0
5 or more,10.0
1–2,
1–2,3.0
3–4,2.0
5 or more,9.0
None,6.0
1–2,7.0
5 or more,7.0
1–2,1.0
1–2,3.0
,7.0
3–4,4.0
5 or more,8.0
,
5 or more,7.0
3–4,10.0
,
None,4.0
5 or more,7.0
,
,
3–4,4.0
1–2,5.0
1–2,8.0
,6.0
3–4,6.0
3–4,3.0
3–4,8.0
None,4.0
1–2,8.0
1–2,6.0
,
3–4,10.0
1–2,5.0
,5.0
3–4,5.0
1–2,8.0
5 or more,4.0
None,7.0
3–4,9.0
3–4,10.0
5 or more,7.0
3–4,9.0
1–2,7.0
,
,6.0
,
,
3–4,9.0
3–4,6.0
1–2,6.0
5 or more,3.0
1–2,8.0
None,1.0
5 or more,5.0
5 or more,4.0
,
3–4,9.0
,5.0
3–4,8.0
3–4,6.0
,8.0
1–2,5.0
3–4,8.0
5 or more,8.0
,
,10.0
3–4,8.0
,
1–2,7.0
,9.0
,
3–4,8.0
,
,
,
,
,5.0
1–2,2.0
,
1–2,6.0
,
,
,5.0
5 or more,
5 or more,6.0
1–2,6.0
1–2,6.0
5 or more,5.0
,
,
5 or more,7.0
5 or more,10.0
1–2,2.0
,
3–4,10.0
,4.0
,9.0
None,3.0
1–2,1.0
3–4,8.0
3–4,9.0
1–2,6.0
1–2,5.0
1–2,6.0
1–2,4.0
5 or more,6.0
,
5 or more,
,
3–4,8.0
5 or more,8.0
3–4,7.0
5 or more,3.0
5 or more,5.0
,
,
5 or more,6.0
1–2,5.0
1–2,7.0
,
5 or more,5.0
3–4,5.0
5 or more,7.0
1–2,7.0
,7.0
,
Presented but no response,10.0
5 or more,1.0
,
,8.0
1–2,10.0
,3.0
,5.0
,
5 or more,8.0
1–2,8.0
None,6.0
5 or more,9.0
,
,5.0
3–4,5.0
,
5 or more,
3–4,9.0
5 or more,6.0
5 or more,10.0
5 or more,8.0
3–4,10.0
5 or more,8.0
,
,
3–4,3.0
5 or more,
5 or more,7.0
,
1–2,3.0
3–4,7.0
1–2,4.0
5 or more,10.0
3–4,9.0
5 or more,1.0
None,2.0
3–4,1.0
,8.0
5 or more,4.0
,1.0
5 or more,3.0
1–2,5.0
1–2,6.0
5 or more,4.0
3–4,4.0
1–2,6.0
,
,4.0
,4.0
3–4,7.0
1–2,5.0
,
1–2,7.0
3–4,8.0
1–2,5.0
3–4,6.0
None,3.0
5 or more,8.0
,7.0
3–4,2.0
,
5 or more,8.0
3–4,8.0
3–4,8.0
5 or more,8.0
5 or more,10.0
3–4,6.0
3–4,7.0
,7.0
3–4,1.0
,8.0
1–2,6.0
1–2,4.0
5 or more,7.0
,
,7.0
1–2,1.0
3–4,6.0
None,6.0
,
None,7.0
3–4,7.0
1–2,1.0
3–4,7.0
3–4,10.0
,
,4.0
Presented but no response,
1–2,1.0
1–2,3.0
1–2,2.0
5 or more,9.0
1–2,6.0
1–2,6.0
3–4,8.0
3–4,5.0
None,3.0
3–4,6.0
3–4,7.0
3–4,7.0
1–2,6.0
3–4,8.0
3–4,5.0
,4.0
5 or more,9.0
,
5 or more,7.0
1–2,3.0
5 or more,9.0
,10.0
1–2,8.0
1–2,7.0
,
3–4,7.0
5 or more,3.0
5 or more,1.0
3–4,1.0
1–2,4.0
1–2,6.0
,10.0
5 or more,10.0
3–4,10.0
5 or more,10.0
1–2,2.0
1–2,4.0
3–4,4.0
3–4,5.0
3–4,4.0
3–4,2.0
3–4,7.0
3–4,10.0
,1.0
1–2,9.0
5 or more,8.0
,
5 or more,7.0
None,7.0
,7.0
,
5 or more,3.0
,
,10.0
1–2,7.0
1–2,7.0
3–4,7.0
3–4,5.0
3–4,10.0
5 or more,10.0
5 or more,8.0
3–4,10.0
5 or more,8.0
3–4,5.0
3–4,7.0
1–2,5.0
,
,
1–2,10.0
,
,
,
1–2,5.0
3–4,8.0
5 or more,10.0
5 or more,4.0
5 or more,10.0
1–2,5.0
5 or more,2.0
3–4,4.0
3–4,7.0
1–2,8.0
5 or more,7.0
,
3–4,7.0
3–4,5.0
5 or more,8.0
5 or more,7.0
,
,
3–4,10.0
1–2,7.0
,8.0
,6.0
1–2,9.0
5 or more,8.0
,
3–4,5.0
,10.0
3–4,7.0
1–2,5.0
,
3–4,8.0
,6.0
,
,6.0
3–4,6.0
5 or more,8.0
5 or more,9.0
5 or more,8.0
,5.0
,
5 or more,8.0
,
5 or more,7.0
1–2,5.0
None,4.0
3–4,8.0
5 or more,6.0
None,6.0
3–4,10.0
1–2,9.0
1–2,9.0
,
,
1–2,8.0
5 or more,6.0
,
1–2,6.0
1–2,10.0
3–4,8.0
None,2.0
,2.0
5 or more,9.0
1–2,4.0
None,5.0
5 or more,5.0
1–2,6.0
,
3–4,8.0
5 or more,6.0
5 or more,6.0
5 or more,5.0
3–4,9.0
5 or more,8.0
,9.0
1–2,8.0
1–2,10.0
,
3–4,5.0
5 or more,4.0
3–4,1.0
5 or more,7.0
1–2,5.0
5 or more,7.0
None,9.0
,
3–4,2.0
5 or more,8.0
5 or more,7.0
1–2,1.0
1–2,8.0
3–4,9.0
3–4,6.0
3–4,3.0
3–4,5.0
5 or more,8.0
,
1–2,8.0
3–4,7.0
,
3–4,7.0
3–4,6.0
None,4.0
5 or more,8.0
1–2,2.0
,8.0
3–4,8.0
3–4,5.0
,8.0
3–4,9.0
3–4,9.0
1–2,8.0
,5.0
1–2,6.0
5 or more,5.0
,
3–4,7.0
3–4,6.0
,8.0
,8.0
None,2.0
1–2,5.0
3–4,7.0
5 or more,7.0
1–2,9.0
5 or more,7.0
5 or more,6.0
,
5 or more,7.0
,7.0
1–2,4.0
1–2,6.0
1–2,4.0
None,1.0
,
1–2,7.0
,
5 or more,8.0
,
1–2,10.0
3–4,8.0
1–2,6.0
3–4,9.0
1–2,4.0
3–4,2.0
3–4,5.0
5 or more,5.0
3–4,10.0
,7.0
5 or more,10.0
3–4,7.0
5 or more,9.0
1–2,5.0
1–2,10.0
1–2,5.0
1–2,2.0
3–4,8.0
,4.0
,
1–2,3.0
,5.0
3–4,6.0
3–4,5.0
,
1–2,7.0
1–2,4.0
,10.0
3–4,9.0
1–2,10.0
3–4,7.0
3–4,5.0
1–2,2.0
1–2,3.0
3–4,6.0
3–4,8.0
1–2,7.0
,
,8.0
3–4,8.0
5 or more,6.0
5 or more,9.0
,
1–2,8.0
3–4,8.0
5 or more,8.0
3–4,4.0
1–2,9.0
,3.0
None,3.0
5 or more,10.0
,
,
5 or more,7.0
1–2,10.0
3–4,5.0
,4.0
None,8.0
3–4,8.0
1–2,7.0
5 or more,8.0
,
3–4,8.0
,10.0
1–2,5.0
1–2,4.0
None,1.0
3–4,6.0
,
1–2,5.0
,
3–4,8.0
1–2,4.0
1–2,9.0
1–2,6.0
3–4,7.0
,9.0
3–4,4.0
5 or more,6.0
,
1–2,2.0
,
5 or more,6.0
1–2,8.0
,
1–2,3.0
3–4,9.0
,
3–4,3.0
,
,5.0
,
,
3–4,9.0
3–4,7.0
3–4,5.0
3–4,7.0
5 or more,5.0
5 or more,9.0
None,4.0
3–4,7.0
3–4,7.0
3–4,2.0
None,7.0
5 or more,8.0
5 or more,7.0
,
5 or more,8.0
3–4,4.0
,
3–4,3.0
1–2,3.0
5 or more,7.0
1–2,6.0
None,4.0
1–2,4.0
1–2,3.0
3–4,4.0
,
5 or more,7.0
3–4,7.0
1–2,8.0
1–2,8.0
None,8.0
5 or more,10.0
1–2,5.0
,8.0
1–2,8.0
3–4,6.0
,
3–4,6.0
1–2,3.0
3–4,5.0
,
1–2,6.0
1–2,8.0
1–2,6.0
None,1.0
3–4,8.0
1–2,5.0
,7.0
1–2,7.0
,
5 or more,1.0
None,8.0
5 or more,7.0
,
5 or more,8.0
3–4,7.0
,
1–2,8.0
3–4,5.0
,2.0
,1.0
1–2,5.0
3–4,9.0
3–4,9.0
1–2,7.0
3–4,8.0
3–4,4.0
1–2,8.0
3–4,10.0
5 or more,7.0
None,1.0
,
3–4,7.0
,
3–4,7.0
5 or more,9.0
5 or more,6.0
5 or more,7.0
,
None,6.0
None,4.0
,6.0
3–4,7.0
,4.0
None,6.0
3–4,9.0
1–2,4.0
1–2,7.0
1–2,4.0
3–4,6.0
1–2,5.0
5 or more,7.0
None,4.0
1–2,5.0
1–2,6.0
,9.0
5 or more,4.0
3–4,9.0
3–4,4.0
,4.0
1–2,5.0
5 or more,4.0
,
5 or more,4.0
1–2,6.0
1–2,4.0
5 or more,1.0
,10.0
3–4,5.0
1–2,6.0
3–4,7.0
5 or more,7.0
None,5.0
3–4,6.0
5 or more,6.0
1–2,3.0
,3.0
3–4,3.0
1–2,7.0
1–2,6.0
3–4,5.0
3–4,8.0
None,1.0
5 or more,8.0
1–2,6.0
1–2,1.0
3–4,5.0
,
3–4,8.0
,2.0
3–4,8.0
5 or more,6.0
,
None,4.0
3–4,3.0
3–4,4.0
None,1.0
None,2.0
1–2,3.0
3–4,9.0
3–4,8.0
3–4,8.0
None,3.0
,
1–2,1.0
5 or more,7.0
,
1–2,2.0
1–2,1.0
3–4,5.0
None,3.0
1–2,2.0
,10.0
5 or more,6.0
3–4,1.0
5 or more,10.0
5 or more,2.0
,
,5.0
1–2,6.0
None,1.0
3–4,8.0
,1.0
5 or more,2.0
1–2,5.0
3–4,4.0
5 or more,4.0
1–2,5.0
,
3–4,10.0
1–2,7.0
3–4,8.0
1–2,8.0
5 or more,6.0
,7.0
,
,
1–2,6.0
1–2,5.0
1–2,9.0
,6.0
1–2,8.0
1–2,3.0
3–4,3.0
,8.0
,
,
,
1–2,7.0
None,
1–2,5.0
1–2,3.0
3–4,4.0
5 or more,5.0
1–2,7.0
1–2,3.0
1–2,5.0
3–4,5.0
3–4,9.0
5 or more,8.0
5 or more,8.0
3–4,8.0
1–2,7.0
3–4,8.0
1–2,5.0
,
3–4,8.0
3–4,3.0
1–2,8.0
1–2,8.0
,
,
3–4,9.0
3–4,2.0
1–2,8.0
1–2,10.0
,
,
,7.0
1–2,3.0
,
3–4,6.0
3–4,3.0
,
3–4,7.0
5 or more,5.0
3–4,5.0
,
3–4,6.0
1–2,7.0
1–2,9.0
3–4,10.0
,
5 or more,9.0
3–4,8.0
5 or more,5.0
1–2,6.0
1–2,5.0
1–2,6.0
5 or more,10.0
1–2,4.0
5 or more,10.0
,8.0
5 or more,9.0
3–4,10.0
5 or more,8.0
,
,
1–2,1.0
5 or more,10.0
1–2,3.0
5 or more,6.0
None,7.0
3–4,5.0
,
3–4,1.0
3–4,8.0
,
5 or more,6.0
,
1–2,8.0
,8.0
5 or more,9.0
,1.0
5 or more,8.0
5 or more,8.0
,
5 or more,7.0
,
,7.0
5 or more,4.0
5 or more,10.0
5 or more,7.0
5 or more,4.0
5 or more,8.0
1–2,5.0
1–2,4.0
3–4,5.0
None,10.0
None,3.0
,
3–4,9.0
3–4,4.0
,
1–2,5.0
1–2,7.0
1–2,7.0
1–2,3.0
,
3–4,3.0
3–4,7.0
5 or more,6.0
3–4,7.0
1–2,6.0
5 or more,9.0
1–2,5.0
5 or more,3.0
,5.0
1–2,6.0
5 or more,4.0
,5.0
,
3–4,5.0
3–4,4.0
3–4,5.0
5 or more,7.0
5 or more,8.0
5 or more,8.0
,5.0
3–4,5.0
1–2,10.0
,
3–4,5.0
1–2,5.0
1–2,4.0
,
5 or more,9.0
1–2,8.0
,7.0
1–2,7.0
3–4,10.0
5 or more,7.0
,
5 or more,7.0
3–4,7.0
3–4,8.0
None,4.0
5 or more,6.0
3–4,4.0
None,10.0
1–2,5.0
3–4,2.0
3–4,5.0
5 or more,6.0
1–2,2.0
1–2,4.0
3–4,6.0
1–2,8.0
3–4,6.0
5 or more,5.0
,1.0
3–4,10.0
None,4.0
3–4,9.0
1–2,6.0
5 or more,5.0
1–2,6.0
,6.0
5 or more,6.0
5 or more,8.0
3–4,7.0
3–4,6.0
5 or more,9.0
1–2,5.0
5 or more,9.0
,10.0
1–2,7.0
3–4,8.0
5 or more,6.0
,
3–4,7.0
3–4,6.0
5 or more,5.0
5 or more,7.0
,
1–2,5.0
1–2,5.0
1–2,5.0
5 or more,4.0
3–4,8.0
1–2,4.0
1–2,3.0
3–4,
1–2,1.0
None,9.0
5 or more,9.0
1–2,8.0
1–2,7.0
5 or more,7.0
3–4,5.0
3–4,8.0
5 or more,4.0
1–2,5.0
1–2,3.0
3–4,5.0
1–2,3.0
5 or more,9.0
3–4,5.0
5 or more,8.0
5 or more,7.0
5 or more,1.0
3–4,6.0
3–4,5.0
,
1–2,6.0
1–2,8.0
3–4,2.0
3–4,3.0
3–4,8.0
3–4,6.0
,
3–4,6.0
3–4,8.0
,10.0
5 or more,10.0
1–2,7.0
1–2,
5 or more,10.0
3–4,7.0
3–4,9.0
None,5.0
5 or more,6.0
,
3–4,10.0
3–4,8.0
5 or more,7.0
,
1–2,5.0
,
5 or more,8.0
,6.0
1–2,7.0
,5.0
3–4,7.0
3–4,7.0
3–4,5.0
None,1.0
3–4,9.0
5 or more,4.0
1–2,7.0
5 or more,10.0
5 or more,6.0
1–2,4.0
1–2,3.0
1–2,2.0
None,4.0
None,9.0
3–4,5.0
1–2,2.0
,4.0
5 or more,10.0
1–2,8.0
1–2,4.0
1–2,
5 or more,5.0
5 or more,6.0
1–2,6.0
,
1–2,7.0
5 or more,9.0
,
5 or more,4.0
3–4,6.0
None,1.0
,
3–4,7.0
5 or more,7.0
1–2,8.0
,
1–2,8.0
,
5 or more,7.0
3–4,7.0
,
1–2,4.0
1–2,10.0
1–2,5.0
5 or more,7.0
1–2,6.0
1–2,1.0
1–2,6.0
3–4,8.0
3–4,7.0
3–4,4.0
5 or more,3.0
5 or more,6.0
,5.0
3–4,6.0
,8.0
3–4,10.0
None,6.0
,5.0
1–2,8.0
1–2,4.0
3–4,8.0
1–2,9.0
5 or more,8.0
1–2,5.0
5 or more,5.0
,8.0
,
5 or more,3.0
3–4,
1–2,5.0
5 or more,9.0
1–2,2.0
1–2,6.0
1–2,7.0
3–4,6.0
3–4,5.0
5 or more,7.0
5 or more,8.0
,
3–4,1.0
1–2,7.0
3–4,9.0
5 or more,9.0
,3.0
1–2,5.0
3–4,7.0
5 or more,5.0
,5.0
3–4,8.0
5 or more,8.0
3–4,7.0
3–4,7.0
1–2,8.0
1–2,8.0
,7.0
3–4,10.0
3–4,10.0
1–2,8.0
,9.0
,
,
3–4,2.0
3–4,9.0
3–4,6.0
1–2,6.0
5 or more,7.0
5 or more,8.0
5 or more,6.0
3–4,7.0
5 or more,8.0
5 or more,7.0
5 or more,9.0
3–4,7.0
,8.0
5 or more,4.0
1–2,9.0
,
3–4,6.0
,
5 or more,7.0
1–2,6.0
,5.0
5 or more,8.0
3–4,5.0
5 or more,7.0
3–4,7.0
5 or more,7.0
5 or more,6.0
5 or more,8.0
3–4,8.0
3–4,3.0
3–4,8.0
None,7.0
,6.0
3–4,3.0
,
,
3–4,10.0
3–4,5.0
1–2,8.0
1–2,4.0
,1.0
1–2,5.0
,
3–4,8.0
3–4,6.0
,7.0
5 or more,8.0
None,5.0
1–2,6.0
1–2,7.0
,
3–4,8.0
3–4,7.0
,
None,5.0
3–4,6.0
,
1–2,8.0
None,8.0
5 or more,6.0
5 or more,7.0
5 or more,6.0
1–2,7.0
,
,
,4.0
1–2,6.0
3–4,7.0
3–4,5.0
1–2,6.0
5 or more,10.0
1–2,6.0
,6.0
1–2,6.0
,
1–2,10.0
5 or more,2.0
,9.0
,
1–2,6.0
,
,10.0
5 or more,2.0
,
5 or more,8.0
None,1.0
,7.0
1–2,4.0
1–2,10.0
3–4,7.0
,
None,4.0
,
1–2,4.0
5 or more,7.0
,
,8.0
5 or more,7.0
5 or more,6.0
5 or more,6.0
,
,
1–2,6.0
5 or more,7.0
5 or more,9.0
1–2,8.0
3–4,7.0
,
5 or more,8.0
5 or more,8.0
1–2,4.0
5 or more,10.0
,
,
3–4,5.0
,
5 or more,5.0
None,3.0
3–4,6.0
3–4,5.0
Presented but no response,8.0
1–2,2.0
,9.0
3–4,9.0
,
3–4,3.0
,5.0
1–2,2.0
5 or more,3.0
5 or more,10.0
,7.0
3–4,8.0
3–4,5.0
,
,10.0
,
5 or more,5.0
5 or more,7.0
,
3–4,7.0
5 or more,8.0
1–2,7.0
,8.0
5 or more,8.0
5 or more,8.0
1–2,7.0
3–4,8.0
5 or more,9.0
1–2,8.0
3–4,4.0
5 or more,5.0
5 or more,8.0
5 or more,10.0
,8.0
,10.0
,
None,5.0
1–2,2.0
1–2,7.0
,
1–2,6.0
5 or more,5.0
,
1–2,5.0
3–4,6.0
5 or more,6.0
Presented but no response,10.0
3–4,8.0
,
3–4,1.0
1–2,5.0
3–4,7.0
3–4,6.0
1–2,5.0
1–2,10.0
5 or more,7.0
3–4,4.0
,10.0
3–4,5.0
1–2,2.0
3–4,7.0
,
3–4,6.0
,
,
1–2,10.0
5 or more,4.0
1–2,7.0
5 or more,9.0
3–4,10.0
,7.0
1–2,5.0
1–2,5.0
,7.0
1–2,5.0
5 or more,1.0
1–2,8.0
1–2,9.0
3–4,1.0
,
None,3.0
1–2,6.0
,
,9.0
3–4,4.0
5 or more,5.0
,
3–4,7.0
1–2,5.0
None,2.0
5 or more,1.0
5 or more,8.0
5 or more,8.0
None,3.0
5 or more,5.0
3–4,3.0
None,5.0
1–2,9.0
1–2,7.0
1–2,8.0
1–2,9.0
,
1–2,2.0
1–2,8.0
5 or more,9.0
1–2,7.0
5 or more,10.0
5 or more,9.0
1–2,8.0
,
1–2,7.0
5 or more,10.0
5 or more,7.0
None,6.0
1–2,4.0
None,9.0
5 or more,7.0
1–2,7.0
,
,6.0
1–2,10.0
3–4,9.0
,
3–4,7.0
3–4,8.0
1–2,3.0
,7.0
,5.0
3–4,8.0
1–2,3.0
1–2,4.0
1–2,3.0
None,8.0
5 or more,4.0
,
,
,4.0
,6.0
1–2,9.0
5 or more,6.0
None,2.0
,9.0
None,7.0
,8.0
1–2,3.0
3–4,6.0
1–2,6.0
1–2,7.0
,
,
1–2,5.0
,
,
3–4,8.0
5 or more,10.0
,2.0
1–2,6.0
,
1–2,3.0
,4.0
,
1–2,8.0
1–2,6.0
3–4,8.0
,
3–4,10.0
3–4,4.0
,8.0
3–4,6.0
,
5 or more,7.0
None,1.0
1–2,4.0
,
5 or more,7.0
1–2,5.0
5 or more,7.0
5 or more,3.0
5 or more,2.0
,
3–4,
3–4,4.0
5 or more,10.0
5 or more,8.0
,
,8.0
5 or more,6.0
1–2,6.0
,
3–4,7.0
1–2,7.0
1–2,6.0
5 or more,10.0
,7.0
1–2,5.0
,5.0
3–4,5.0
3–4,8.0
1–2,3.0
1–2,8.0
1–2,3.0
3–4,5.0
5 or more,5.0
1–2,6.0
1–2,6.0
1–2,10.0
5 or more,5.0
,
,
None,1.0
1–2,1.0
,
5 or more,7.0
5 or more,10.0
3–4,8.0
1–2,1.0
3–4,1.0
5 or more,4.0
,7.0
,
Presented but no response,10.0
1–2,7.0
,
Presented but no response,
,5.0
5 or more,5.0
,7.0
5 or more,7.0
5 or more,8.0
None,5.0
None,5.0
3–4,6.0
3–4,6.0
,
3–4,7.0
3–4,7.0
1–2,2.0
3–4,7.0
5 or more,7.0
5 or more,6.0
3–4,7.0
,5.0
1–2,
1–2,4.0
3–4,7.0
,
1–2,6.0
5 or more,4.0
1–2,8.0
5 or more,5.0
5 or more,7.0
,6.0
,10.0
3–4,9.0
1–2,5.0
,
,
,
,10.0
5 or more,4.0
3–4,10.0
5 or more,8.0
1–2,5.0
,
3–4,6.0
3–4,4.0
5 or more,7.0
,
5 or more,2.0
5 or more,7.0
3–4,9.0
5 or more,10.0
,
,
5 or more,8.0
1–2,9.0
1–2,5.0
3–4,7.0
3–4,8.0
1–2,1.0
5 or more,1.0
,4.0
1–2,6.0
5 or more,10.0
,5.0
,
5 or more,3.0
3–4,7.0
5 or more,8.0
5 or more,8.0
,8.0
1–2,9.0
5 or more,6.0
1–2,4.0
,7.0
,5.0
,
3–4,9.0
,
1–2,8.0
5 or more,10.0
1–2,10.0
,
1–2,2.0
1–2,1.0
1–2,2.0
5 or more,8.0
,1.0
1–2,5.0
5 or more,8.0
,5.0
1–2,5.0
5 or more,6.0
5 or more,8.0
,
None,9.0
None,6.0
,
3–4,7.0
,
3–4,3.0
,8.0
None,6.0
3–4,9.0
3–4,9.0
3–4,6.0
None,5.0
3–4,10.0
5 or more,6.0
Presented but no response,9.0
None,1.0
5 or more,6.0
1–2,5.0
5 or more,8.0
,
,6.0
3–4,9.0
3–4,9.0
3–4,9.0
5 or more,9.0
,6.0
3–4,6.0
3–4,3.0
None,1.0
3–4,3.0
5 or more,6.0
5 or more,8.0
5 or more,3.0
3–4,7.0
3–4,7.0
None,6.0
1–2,2.0
,10.0
1–2,2.0
1–2,4.0
5 or more,8.0
3–4,2.0
5 or more,6.0
5 or more,4.0
3–4,6.0
3–4,7.0
5 or more,8.0
3–4,6.0
1–2,8.0
5 or more,10.0
,9.0
,6.0
3–4,4.0
1–2,7.0
1–2,7.0
5 or more,7.0
None,5.0
5 or more,9.0
1–2,7.0
1–2,5.0
,
,8.0
3–4,10.0
,
3–4,5.0
1–2,7.0
5 or more,6.0
3–4,5.0
5 or more,10.0
1–2,10.0
,8.0
None,1.0
5 or more,7.0
3–4,5.0
3–4,1.0
1–2,5.0
1–2,6.0
5 or more,9.0
3–4,10.0
1–2,4.0
,6.0
,
1–2,8.0
1–2,2.0
,
3–4,4.0
,
5 or more,6.0
5 or more,8.0
3–4,5.0
,
3–4,6.0
5 or more,8.0
3–4,3.0
,
5 or more,6.0
3–4,8.0
3–4,3.0
3–4,1.0
3–4,5.0
None,4.0
,1.0
5 or more,9.0
None,3.0
,
3–4,6.0
5 or more,6.0
1–2,8.0
1–2,8.0
5 or more,10.0
3–4,7.0
3–4,6.0
,
1–2,1.0
1–2,3.0
None,9.0
,
5 or more,3.0
5 or more,8.0
5 or more,9.0
5 or more,3.0
3–4,7.0
5 or more,7.0
1–2,1.0
5 or more,6.0
3–4,7.0
5 or more,2.0
3–4,3.0
3–4,6.0
3–4,10.0
3–4,5.0
1–2,7.0
5 or more,6.0
5 or more,9.0
3–4,8.0
5 or more,1.0
5 or more,6.0
1–2,7.0
5 or more,9.0
,6.0
3–4,10.0
3–4,7.0
3–4,5.0
None,6.0
,10.0
5 or more,5.0
5 or more,6.0
3–4,7.0
,
5 or more,3.0
5 or more,9.0
3–4,4.0
1–2,4.0
,
1–2,6.0
,
,5.0
3–4,6.0
3–4,7.0
,
,
,
3–4,5.0
3–4,8.0
,5.0
3–4,8.0
,4.0
1–2,10.0
3–4,7.0
,
,
,
1–2,7.0
3–4,6.0
5 or more,7.0
5 or more,7.0
3–4,5.0
1–2,2.0
1–2,5.0
1–2,7.0
5 or more,6.0
1–2,8.0
,
3–4,1.0
,6.0
,
5 or more,7.0
,
5 or more,8.0
,9.0
1–2,8.0
3–4,1.0
,8.0
5 or more,9.0
1–2,7.0
1–2,6.0
5 or more,8.0
3–4,5.0
1–2,6.0
,
,7.0
3–4,6.0
5 or more,7.0
5 or more,5.0
5 or more,7.0
,
1–2,8.0
1–2,8.0
3–4,3.0
3–4,3.0
3–4,9.0
,
,8.0
1–2,5.0
